ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
human,1841,1918,female,small
human,1938,1991,female,small
human,1918,2004,male,small
human,1913,2005,female,small
human,1912,1992,male,small
human,1906,2003,male,large
human,1875,1932,female,small
human,1899,1956,female,small
human,1860,1933,female,small
human,1850,1932,male,small
human,1884,1966,male,small
human,1882,1914,male,small
human,1828,1898,male,large
human,1849,1907,female,large
human,1921,1991,female,small
human,1929,2013,male,small
human,1945,2002,male,large
human,1975,1998,male,large
human,1885,1982,female,large
human,1865,1936,male,large
human,1863,1912,female,large
human,1825,1895,male,large
human,1839,1876,female,large
human,1918,1987,female,small
human,1927,2002,female,large
human,1925,1981,male,large
human,1897,1972,male,small
human,1925,2014,female,small
human,1954,2013,female,small
human,1853,1929,male,small
human,1832,1926,male,large
human,1832,1916,male,small
human,1841,1907,female,small
human,1881,1882,male,small
human,1875,1931,female,small
human,1865,1909,male,small
human,1922,1944,male,small
human,1922,1944,female,small
human,1918,2013,male,small
human,1859,1882,female,small
human,1855,1921,male,small
human,1856,1952,female,small
human,1894,1934,female,small
human,1953,2014,male,small
human,1900,1988,male,small
human,1903,1977,female,small
human,1932,1989,male,small
human,1901,1984,female,small
human,1936,1991,male,small
human,1829,1902,male,large
human,1857,1906,male,large
human,1852,1923,male,large
human,1855,1926,female,large
human,1831,1906,female,large
human,1903,1941,male,small
human,1879,1925,female,small
human,1806,1882,female,large
human,1869,1919,male,small
human,1875,1957,male,small
human,1890,1932,male,small
human,1907,1989,female,small
human,1894,1895,female,small
human,1889,1893,male,small
human,1892,1892,male,small
human,1820,1881,male,large
human,1824,1876,female,large
human,1863,1931,female,large
human,1859,1935,male,large
human,1884,1919,male,small
human,1891,1979,female,small
human,1887,1971,female,small
human,1897,1987,female,small
human,1895,1968,male,small
human,1941,2014,male,large
human,1845,1927,male,large
human,1862,1920,female,large
human,1897,1972,male,large
human,1897,1978,female,large
human,1929,2003,male,large
human,1930,1988,male,large
human,1941,2013,female,large
human,1917,2003,female,small
human,1885,1976,female,small
human,1901,1975,female,small
human,1830,1888,male,large
human,1852,1910,female,large
human,1874,1924,male,large
human,1878,1938,male,large
human,1876,1963,female,large
human,1871,1936,male,large
human,1876,1931,female,large
human,1851,1945,female,small
human,1870,1946,female,small
human,1868,1932,male,small
human,1890,1948,male,small
human,1901,1991,female,small
human,1919,2013,male,large
human,1934,1993,male,small
human,1864,1883,female,large
human,1922,1993,female,large
human,1869,1873,female,small
human,1873,1873,female,small
human,1845,1895,female,large
human,1846,1929,male,large
human,1906,1959,male,small
human,1907,1996,female,small
human,1938,2011,female,small
human,1922,2002,female,small
human,1920,1985,male,small
human,1824,1889,male,large
human,1832,1908,female,large
human,1912,1989,male,small
human,1915,2008,female,small
human,1910,1989,male,large
human,1913,1980,female,large
human,1891,1983,female,small
human,1906,1977,female,small
human,1909,1996,female,small
human,1850,1873,male,large
human,1826,1911,female,large
human,1824,1879,male,large
human,1917,1964,male,small
human,1923,2000,female,small
human,1885,1962,male,small
human,1889,1959,female,small
human,1925,2005,male,large
human,1926,2012,female,large
human,1917,2008,male,small
human,1921,1992,female,small
human,1971,2007,female,small
human,1885,1975,female,large
human,1880,1966,male,large
human,1908,1999,female,large
human,1904,1993,male,large
human,1908,1976,female,large
human,1891,1981,female,large
human,1887,1954,male,large
human,1915,1997,male,large
human,1868,1922,male,small
human,1870,1950,female,small
human,1893,1899,male,small
human,1856,1858,female,small
human,1853,1853,female,small
human,1849,1933,female,small
human,1821,1907,female,large
human,1859,1883,female,small
human,1853,1879,male,small
human,1875,1945,female,large
human,1874,1902,male,large
human,1913,1990,female,small
human,1860,1891,male,large
