ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
HUMAN,1819,1893,M,L
HUMAN,1860,1923,F,S
HUMAN,1858,1941,M,S
HUMAN,1897,1914,M,S
HUMAN,1874,1925,F,S
HUMAN,1912,1971,F,S
HUMAN,1909,1968,M,S
HUMAN,1912,1964,F,S
HUMAN,1939,1999,M,S
HUMAN,1913,1986,M,S
HUMAN,1918,2003,F,S
HUMAN,1911,1945,M,S
HUMAN,1923,2003,M,S
HUMAN,1877,1954,M,S
HUMAN,1885,1964,F,S
HUMAN,1884,1968,F,S
HUMAN,1879,1977,F,S
HUMAN,1853,1934,M,S
HUMAN,1859,1920,F,S
HUMAN,1892,1990,F,S
HUMAN,1887,1981,M,S
HUMAN,1880,1945,M,S
HUMAN,1882,1984,F,S
HUMAN,1900,1957,M,S
HUMAN,1871,1972,F,S
HUMAN,1863,1929,M,S
HUMAN,1909,1928,M,S
HUMAN,1901,1977,F,S
HUMAN,1919,2016,M,S
HUMAN,1921,2012,F,S
HUMAN,1858,1916,M,S
HUMAN,1958,2012,M,S
HUMAN,1858,1890,M,L
HUMAN,1848,1911,F,S
HUMAN,1896,1920,M,S
HUMAN,1895,1922,M,S
HUMAN,1870,1924,F,S
HUMAN,1872,1935,M,S
HUMAN,1926,2010,M,S
HUMAN,1899,1974,M,S
HUMAN,1900,1991,F,S
HUMAN,1870,1891,M,S
HUMAN,1877,1936,F,S
HUMAN,1847,1927,F,S
HUMAN,1907,1982,M,S
HUMAN,1912,1985,F,S
HUMAN,1916,1997,M,S
HUMAN,1921,2012,F,S
HUMAN,1943,2000,M,S
HUMAN,1899,1993,F,S
HUMAN,1869,1921,M,S
HUMAN,1872,1901,M,L
HUMAN,1891,1955,M,L
HUMAN,1872,1912,M,L
HUMAN,1906,1977,M,S
HUMAN,1893,1971,F,S
HUMAN,1906,1974,M,S
HUMAN,1858,1912,M,L
HUMAN,1894,1981,F,S
HUMAN,1888,1918,M,S
HUMAN,1884,1961,M,S
HUMAN,1859,1912,M,S
HUMAN,1866,1939,F,S
HUMAN,1902,1946,F,S
HUMAN,1932,1991,M,S
HUMAN,1901,1985,M,S
HUMAN,1932,1991,M,S
HUMAN,1891,1948,F,S
HUMAN,1895,1975,F,S
HUMAN,1890,1963,M,S
HUMAN,1863,1939,F,S
HUMAN,1856,1939,M,S
HUMAN,1894,1980,F,S
HUMAN,1890,1963,M,S
HUMAN,1936,2006,F,S
HUMAN,1894,1981,F,S
HUMAN,1873,1970,F,S
HUMAN,1843,1918,M,S
HUMAN,1884,1948,F,S
HUMAN,1887,1967,M,S
HUMAN,1900,1969,F,S
HUMAN,1940,2014,M,S
HUMAN,1914,2007,F,S
HUMAN,1916,1998,M,S
HUMAN,1916,2014,F,S
HUMAN,1914,1987,M,S
HUMAN,1899,1984,F,S
HUMAN,1897,1971,M,S
HUMAN,1863,1924,F,S
HUMAN,1861,1935,M,S
HUMAN,1865,1950,M,S
HUMAN,1867,1947,F,S
HUMAN,1891,1935,F,S
HUMAN,1855,1893,F,S
HUMAN,1897,1952,M,S
HUMAN,1901,1986,F,S
HUMAN,1911,1914,F,S
HUMAN,1920,1976,M,S
HUMAN,1921,2014,F,S
HUMAN,1927,1997,M,S
HUMAN,1922,2003,F,S
HUMAN,1839,1917,F,S
HUMAN,1890,1974,F,S
HUMAN,1853,1947,M,S
HUMAN,1886,1892,M,S
HUMAN,1857,1937,F,S
HUMAN,1881,1951,F,L
HUMAN,1961,1990,F,S
HUMAN,1933,1999,M,S
HUMAN,1848,1915,M,L
HUMAN,1853,1900,F,S
HUMAN,1887,1944,M,S
HUMAN,1918,1989,M,S
HUMAN,1914,1999,F,S
HUMAN,1875,1898,F,S
HUMAN,1925,2014,F,S
HUMAN,1922,2008,M,S
HUMAN,1867,1955,M,S
HUMAN,1882,1981,F,S
HUMAN,1833,1921,F,S
HUMAN,1887,1971,F,S
HUMAN,1816,1898,F,S
HUMAN,1889,1952,M,S
HUMAN,1860,1946,F,S
HUMAN,1852,1915,M,S
HUMAN,1893,1893,F,S
HUMAN,1903,1958,M,S
HUMAN,1905,1976,F,S
HUMAN,1928,2003,F,S
HUMAN,1913,1973,M,S
HUMAN,1916,1991,F,S
HUMAN,1889,1981,M,S
HUMAN,1900,1986,F,S
HUMAN,1888,1976,M,S
HUMAN,1893,1971,F,S
HUMAN,1904,1978,F,S
HUMAN,1885,1918,F,S
HUMAN,1849,1930,F,S
HUMAN,1847,1935,M,S
HUMAN,1921,2007,F,S
