,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2033,7,300.74,306.46,304.67,307.03
2034,7,301.42,300.08,299.90,302.42
2035,7,299.00,304.32,303.65,301.27
2036,7,302.42,297.83,297.69,305.21
2037,7,303.35,306.70,301.30,306.24
2038,7,297.37,302.98,299.64,298.80
2039,7,295.36,301.40,309.41,309.04
2040,7,304.67,305.81,302.47,303.40
2041,7,302.25,305.20,302.86,307.63
2042,7,298.46,306.55,304.97,297.54
2043,7,307.10,305.30,307.11,308.94
2044,7,302.80,303.81,305.65,303.28
2045,7,305.36,298.93,305.29,306.90
2046,7,301.20,306.73,310.07,307.79
2047,7,306.52,304.88,309.42,301.57
2048,7,306.58,305.90,306.22,307.46
2049,7,304.78,300.35,307.48,302.01
2050,7,301.64,306.70,305.84,304.66
2051,7,303.99,297.81,305.41,304.45
2052,7,301.20,308.88,309.18,301.07
2053,7,303.97,306.98,305.62,306.47
2054,7,302.78,308.09,308.25,299.66
2055,7,304.38,304.55,307.28,307.20
