,,Committed ,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2089,5,296.24,296.35,296.95,296.68
2090,5,297.60,298.75,298.60,298.15
2091,5,298.24,297.21,297.51,299.46
2092,5,294.33,296.99,299.59,295.46
2093,5,294.02,298.46,298.68,295.51
2094,5,294.33,296.87,298.59,296.11
2095,5,296.03,298.82,298.02,296.83
2096,5,294.56,298.36,298.43,297.66
2097,5,296.11,297.15,298.15,297.61
2098,5,295.70,296.79,299.51,295.11
2099,5,295.24,299.87,299.17,296.78
2100,5,295.68,296.37,300.69,296.03
2001,6,294.30,294.07,294.24,294.46
2002,6,294.13,294.45,293.95,294.64
2003,6,294.20,294.52,293.60,294.07
2004,6,294.21,294.60,294.38,294.44
2005,6,294.09,293.59,294.57,293.84
2006,6,293.58,292.97,294.52,294.21
2007,6,294.19,294.66,293.45,294.31
2008,6,295.37,294.50,294.34,293.98
2009,6,294.51,294.06,294.64,294.24
2010,6,294.35,294.64,294.84,293.44
2011,6,294.25,294.94,294.43,293.82
2012,6,294.60,294.19,293.80,293.67
2013,6,293.39,293.71,293.63,294.34
2014,6,294.74,294.31,295.51,294.02
2015,6,294.00,293.76,293.86,295.22
2016,6,294.38,293.78,293.37,294.29
2017,6,295.00,294.35,293.65,294.61
2018,6,294.70,294.78,294.18,294.76
2019,6,294.27,296.20,294.31,294.78
2020,6,295.08,294.76,294.59,294.59
2021,6,294.90,294.77,294.41,294.93
2022,6,294.25,294.70,293.45,294.73
2023,6,295.01,294.95,293.63,294.27
2024,6,293.91,294.80,294.27,294.15
2025,6,294.03,294.89,295.27,294.73
2026,6,294.21,294.53,295.50,294.35
2027,6,294.13,294.23,293.94,294.24
2028,6,294.25,293.79,294.93,294.56
2029,6,294.50,294.17,294.88,294.60
2030,6,293.79,294.97,294.96,293.97
2031,6,294.54,296.21,295.02,294.46
2032,6,293.62,295.10,296.29,295.78
2033,6,294.45,294.40,294.72,294.82
2034,6,295.15,294.83,294.99,294.46
2035,6,294.55,294.30,295.14,295.07
2036,6,294.58,294.70,294.97,295.61
2037,6,293.54,295.09,296.10,294.38
2038,6,294.58,294.98,294.87,294.48
2039,6,293.91,294.91,295.06,296.33
2040,6,294.51,295.36,294.85,295.20
2041,6,293.87,295.63,294.21,294.84
2042,6,294.63,295.41,295.42,295.05
2043,6,295.17,295.61,294.96,293.90
2044,6,293.87,295.49,294.66,295.05
2045,6,293.86,295.16,294.86,294.88
2046,6,294.49,295.27,295.54,294.96
2047,6,293.70,296.21,295.08,295.38
2048,6,294.87,295.32,295.29,294.77
2049,6,294.24,295.25,295.11,295.34
2050,6,294.16,295.17,295.08,295.19
2051,6,294.42,295.76,295.45,295.36
2052,6,295.42,295.11,295.41,294.49
2053,6,294.19,295.80,295.92,294.53
2054,6,294.10,296.53,295.41,295.67
2055,6,294.75,295.74,295.66,295.20
2056,6,294.27,295.75,296.97,295.56
2057,6,294.57,294.86,295.92,295.35
2058,6,294.45,295.08,295.78,295.34
2059,6,294.85,295.26,295.82,296.40
2060,6,293.49,296.56,295.69,294.45
2061,6,294.36,295.36,296.17,296.37
2062,6,294.76,295.50,296.38,295.15
2063,6,295.20,295.92,296.32,295.31
2064,6,293.81,295.83,296.52,295.79
2065,6,295.42,295.85,296.32,295.67
2066,6,293.83,295.60,295.59,296.33
2067,6,294.00,296.08,296.00,295.87
2068,6,294.53,296.23,296.43,294.84
2069,6,294.03,295.75,296.39,295.47
2070,6,294.20,295.85,296.12,295.64
2071,6,294.73,296.44,296.01,295.06
2072,6,295.59,295.59,296.53,296.14
2073,6,293.49,296.78,297.18,295.40
2074,6,294.67,296.13,296.37,295.85
2075,6,293.97,295.97,295.88,295.65
2076,6,294.67,296.01,297.35,295.15
2077,6,294.08,296.72,296.96,295.01
2078,6,294.96,296.02,296.69,295.02
2079,6,294.53,296.18,296.64,295.95
2080,6,293.79,295.91,297.49,295.98
2081,6,294.04,296.98,296.89,295.37
2082,6,294.32,296.45,296.88,296.44
2083,6,293.90,296.51,296.44,295.84
2084,6,294.37,296.11,297.37,295.79
2085,6,294.30,296.87,297.16,296.10
2086,6,294.84,296.12,297.68,296.01
2087,6,294.56,296.39,297.11,295.75
2088,6,293.87,296.62,296.78,295.70
2089,6,294.17,297.10,296.77,295.31
2090,6,294.91,296.66,297.21,295.38
2091,6,294.44,296.28,296.77,296.77
2092,6,294.80,296.29,296.39,295.77
2093,6,293.98,295.97,297.43,294.64
2094,6,293.85,297.03,298.20,295.56
2095,6,294.86,296.79,297.36,296.10
2096,6,293.84,297.49,297.73,295.20
2097,6,294.43,296.09,298.02,295.69
2098,6,294.63,296.60,297.48,295.39
2099,6,294.75,296.44,298.31,295.95
2100,6,294.71,296.65,298.46,295.77
2001,7,294.15,294.05,293.56,293.95
2002,7,293.59,293.96,294.25,294.11
2003,7,294.64,294.15,293.62,294.03
2004,7,294.12,294.25,294.25,293.71
2005,7,293.44,293.30,293.97,294.04
2006,7,293.49,293.56,293.59,293.09
2007,7,293.75,293.69,293.60,293.66
2008,7,294.57,294.32,294.69,293.95
2009,7,294.17,293.65,294.59,293.97
2010,7,294.00,294.12,293.76,293.71
2011,7,294.59,294.08,294.70,293.16
2012,7,294.11,294.38,294.54,294.65
2013,7,293.97,293.73,294.32,294.02
2014,7,294.40,293.58,294.98,294.62
2015,7,294.09,293.61,293.95,294.47
2016,7,293.53,293.73,294.97,294.71
2017,7,294.00,294.68,293.96,293.90
2018,7,293.40,294.92,294.46,294.28
2019,7,294.63,294.80,294.29,294.04
2020,7,294.45,294.38,294.74,294.45
2021,7,294.02,293.83,293.97,294.37
2022,7,294.17,294.39,293.92,294.42
2023,7,294.00,294.94,294.27,294.41
2024,7,293.38,295.07,294.73,293.97
2025,7,293.48,295.22,294.96,294.39
2026,7,294.61,293.95,294.17,294.75
2027,7,294.29,294.27,294.35,294.52
2028,7,294.18,294.51,294.83,295.11
2029,7,294.32,295.02,294.33,294.59
2030,7,294.53,294.44,295.39,294.01
2031,7,293.53,294.47,295.07,294.24
2032,7,294.03,294.74,294.43,295.71
2033,7,293.98,294.65,294.91,295.29
2034,7,294.35,294.45,295.66,294.29
2035,7,294.14,294.82,294.63,294.43
2036,7,294.16,294.54,294.92,294.74
2037,7,294.06,294.43,294.85,294.93
2038,7,294.00,295.10,295.24,295.21
2039,7,294.18,294.85,294.94,295.13
2040,7,293.53,294.64,295.03,295.01
2041,7,294.10,295.44,294.95,294.64
2042,7,294.85,295.24,295.12,294.72
2043,7,293.66,295.95,295.07,294.84
2044,7,293.95,295.57,295.39,295.33
2045,7,294.30,294.95,295.04,294.86
2046,7,294.39,295.66,295.76,294.58
2047,7,294.09,294.83,295.27,294.79
2048,7,294.26,295.37,295.10,294.93
2049,7,293.96,295.53,296.24,295.14
2050,7,294.45,295.70,295.01,295.33
2051,7,294.62,295.59,296.03,294.41
2052,7,294.07,295.13,295.28,294.91
2053,7,294.46,295.95,295.65,294.99
2054,7,293.25,296.02,295.62,295.25
2055,7,294.38,294.58,296.05,295.69
